Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
09/27/2005,21.05,21.4,19.1,19.3,18.1949,961200,0,0,0.02,-0.021, 0.02,0,0, -9.25596e+61,23.6534, 0, 0, 18.1949, 234.436, 0, -4265.55,0,0, 0, 0, 0, 234.436, 0, -4265.55, 0
09/28/2005,19.3,20.53,19.2,20.5,19.3262,5.7479e+06,0.0621762,0.06,0.02,-0.02, 0.02,0.0413492,0.02, 13.6269,23.6534, 0, -6.96502, 18.376, 227.471, 0, -4137.13,41.3492,41.3492, 0, 41.3492, 0, 202.044, 0, -3654.38, 250.367
09/29/2005,20.4,20.58,20.1,20.21,19.0528,1.0782e+06,-0.0141463,-0.0141463,0.02,-0.02, 0.02,0,-0.0141463, 13.6269,23.6534, 0, 1.62622, 19.189, 229.098, 0, -4167.9,0,41.3492, 0, 41.3492, 0, 216.292, 0, -3923.94, 197.027
09/30/2005,20.26,21.05,20.18,21.01,19.807,3.1233e+06,0.0395842,0.0395842,0.02,-0.02, 0.02,0.0192002,0.02, 13.6269,23.6534, 0, -4.404, 19.2424, 224.694, 0, -4082.72,19.2004,60.5496, 0, 60.5496, 0, 177.471, 0, -3165.91, 349.256
10/03/2005,20.9,21.75,20.9,21.5,20.2689,1.0579e+06,0.0233224,0.0233224,0.02,-0.02, 0.02,0.00325727,0.02, 13.6269,23.6534, 0, -2.57524, 20.0041, 222.118, 0, -4030.75,3.25709,63.8067, 0, 63.8067, 0, 154.416, 0, -2699.97, 429.89
10/04/2005,21.44,22.5,21.44,22.16,20.8911,1.7688e+06,0.0306975,0.0306975,0.02,-0.02, 0.02,0.0104877,0.02, 13.6269,23.6534, 0, -3.3327, 20.4706, 218.786, 0, -3962.08,10.4879,74.2946, 0, 74.2946, 0, 124.181, 0, -2073.67, 520.606
10/05/2005,22.1,22.31,21.75,22.2,20.9289,904300,0.00180507,0.00180507,0.02,-0.02, 0.02,0,0.00180507, 13.6269,23.6534, 0, -0.197195, 20.91, 218.588, 0, -3957.5,0,74.2946, 0, 74.2946, 0, 122.377, 0, -2031.78, 529.437
10/06/2005,22.6,23,22.4,22.58,21.2871,1.6142e+06,0.017117,0.017117,0.02,-0.02, 0.02,0,0.017117, 13.6269,23.6534, 0, -1.84711, 21.1072, 216.741, 0, -3918.05,-2.8264,71.4682, 0, 71.4682, 0, 105.405, 0, -1669.32, 574.446
10/07/2005,22.25,22.6,21.8,22.15,20.8817,753400,-0.0190432,-0.0190432,0.02,-0.02, 0.02,0,-0.0190432, 13.6269,23.6534, 0, 2.09368, 21.0834, 218.835, 0, -3961.73,0,71.4682, 0, 70.4921, -0.976121, 124.632, -0.976121, -2070.47, 532.056
10/10/2005,22.28,22.29,22.1,22.21,20.9383,538700,0.00270873,0.00270873,0.02,-0.02, 0.02,0,0.00270873, 13.6269,23.6534, 0, -0.295782, 20.91, 218.539, 0, -3955.09,0,71.4682, 0, 70.4921, -0.976121, 121.927, 0, -2009.73, 543.211
10/11/2005,22.26,22.3,21.8,21.98,20.7215,764600,-0.0103559,-0.0103559,0.02,-0.02, 0.02,0,-0.0103559, 13.6269,23.6534, 0, 1.14045, 20.8296, 219.68, 0, -3978.39,0,71.4682, 0, 70.4921, -0.976121, 132.337, 0, -2222.4, 519.813
10/12/2005,21.9,22.05,21.64,21.76,20.5141,912900,-0.0100087,-0.0100087,0.02,-0.02, 0.02,0,-0.0100087, 13.6269,23.6534, 0, 1.10767, 20.6175, 220.787, 0, -4000.77,0,71.4682, 0, 70.4921, -0.976121, 142.396, 0, -2425.67, 495.45
10/13/2005,21.7,21.8,21.4,21.71,20.4669,531300,-0.00229823,-0.00229823,0.02,-0.02, 0.02,0,-0.00229823, 13.6269,23.6534, 0, 0.254148, 20.4905, 221.042, 0, -4005.53,0,71.4682, 0, 70.4921, -0.976121, 144.697, 0, -2468.71, 492.781
10/14/2005,21.85,22.4,21.85,22.27,20.9949,887800,0.0257948,0.0257948,0.02,-0.02, 0.02,0.00568113,0.02, 13.6269,23.6534, 0, -2.79686, 20.6706, 218.245, 0, -3947.26,5.68099,77.1492, 0, 76.1731, -0.976121, 119.229, 0, -1936.64, 566.552
10/17/2005,22.15,22.22,21.85,22.08,20.8157,464000,-0.00853166,-0.00853166,0.02,-0.02, 0.02,0,-0.00853166, 13.6269,23.6534, 0, 0.936995, 20.9051, 219.182, 0, -3966.39,0,77.1492, 0, 76.1731, -0.976121, 127.797, 0, -2111.58, 548.611
