Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance
06/08/1992,7.4375,7.5,7.25,7.3125,7.3125,1.181e+06,0,0,0.02,-0.021, 0.02,0,0, 5.47664,9.50625, 0, 0, 7.3125, 262.364, 0, -1918.54,0,0
06/09/1992,7.375,7.6875,7.3125,7.6875,7.6875,1.686e+06,0.0512821,0.0512821,0.02,-0.0200027, 0.02,0.0306687,0.02, 5.6446,9.79779, 30.2078, -19.8026, 7.38526, 242.562, 0, -1771.71,0.583024,92.9845
06/10/1992,7.75,7.9375,7.6875,7.9375,7.9375,2.4408e+06,0.0325203,0.0325203,0.02,-0.0200067, 0.02,0.0122748,0.02, 5.71389,9.91806, 12.2001, -19.8026, 7.76399, 222.759, 0, -1617,0.962235,151.151
06/11/1992,7.9375,8,7.75,7.875,7.875,1.3832e+06,-0.00787402,-0.00787402,0.02,-0.0200109, 0.02,0,-0.00787402, 5.71389,9.91806, 0, 7.90518, 7.90619, 230.664, 0, -1677.92,1.58124,138.564
06/12/1992,7.8125,7.8125,7.375,7.4375,7.4375,2.1112e+06,-0.0555556,-0.0555556,0.02,-0.0200092, 0.02,-0.0362721,-0.0200092, 5.50664,9.55831, -36.9463, 20.2121, 7.79582, 250.876, 0, -1834.93,0.554316,30.96
06/15/1992,7.4375,7.6875,7.25,7.6875,7.6875,1.5912e+06,0.0336134,0.0336134,0.02,-0.020005, 0.02,0.0133465,0.02, 5.58013,9.68588, 13.2582, -19.8026, 7.51151, 231.074, 0, -1685.28,0.901025,91.095
06/16/1992,7.625,7.6875,7.4375,7.5,7.5,997000,-0.0243902,-0.0243902,0.02,-0.0200091, 0.02,-0.00447056,-0.0200091, 5.55518,9.64258, -4.48059, 20.212, 7.6102, 251.286, 0, -1837.86,1.24408,46.7853
06/17/1992,7.4375,7.4375,7.25,7.25,7.25,875000,-0.0333333,-0.0333333,0.02,-0.0200049, 0.02,-0.0136005,-0.0200049, 5.47963,9.51144, -13.6938, 20.2078, 7.4246, 271.493, 0, -1987.01,0.883958,-18.6805
06/18/1992,4.5625,4.8125,4.375,4.5,4.5,1.66878e+07,-0.37931,-0.06,0.02,-0.0200008, 0.02,-0.366643,-0.0200008, 3.47056,6.02414, -456.72, 20.2036, 7.17713, 291.697, 0, -2131.94,0.0742538,-819.301
06/19/1992,4.6875,4.875,4.625,4.6875,4.6875,6.4516e+06,0.0416667,0.0416667,0.02,-0.0199968, 0.02,0.0212418,0.02, 3.54429,6.1521, 21.0194, -19.8026, 4.54478, 271.894, 0, -2041.5,0.440793,-766.993
06/22/1992,4.875,4.9375,4.75,4.875,4.875,3.017e+06,0.04,0.04,0.02,-0.0200008, 0.02,0.0196078,0.02, 3.61378,6.27273, 19.4181, -19.8026, 4.73414, 252.092, 0, -1947.27,0.478102,-718.324
06/23/1992,4.875,4.875,4.4375,4.5625,4.5625,4.2688e+06,-0.0641026,-0.06,0.02,-0.0200048, 0.02,-0.044998,-0.0200048, 3.45117,5.99047, -46.0418, 20.2076, 4.82599, 272.299, 0, -2044.5,0.297043,-802.13
06/24/1992,4.5,4.5,4.3125,4.4375,4.4375,2.7444e+06,-0.0273973,-0.0273973,0.02,-0.0200007, 0.02,-0.00754753,-0.0200007, 3.42512,5.94526, -7.57616, 20.2034, 4.51664, 292.503, 0, -2135.09,0.655839,-837.111
06/25/1992,4.4375,4.5,4.3125,4.375,4.375,1.574e+06,-0.0140845,-0.0140845,0.02,-0.0199967, 0.02,0,-0.0140845, 3.42512,5.94526, 0, 14.1846, 4.40614, 306.687, 0, -2196.71,0.881228,-854.953
06/26/1992,4.375,4.4375,4.25,4.3125,4.3125,2.3242e+06,-0.0142857,-0.0142857,0.02,-0.0199939, 0.02,0,-0.0142857, 3.42512,5.94526, 0, 14.3887, 4.34364, 321.076, 0, -2258.34,0.868728,-873.7
06/29/1992,4.375,4.5,4.375,4.4375,4.4375,1.2762e+06,0.0289855,0.0289855,0.02,-0.0199911, 0.02,0.00880932,0.02, 3.45529,5.99763, 8.77075, -19.8026, 4.35541, 301.274, 0, -2171.49,0.604723,-834.586
06/30/1992,4.4375,4.5,4.375,4.375,4.375,1.3304e+06,-0.0140845,-0.0140845,0.02,-0.019995, 0.02,0,-0.0140845, 3.45529,5.99763, 0, 14.1846, 4.40614, 315.458, 0, -2233.11,0.881228,-852.976
07/01/1992,4.375,4.4375,4.3125,4.375,4.375,2.1762e+06,0,0,0.02,-0.0199922, 0.02,0,0, 3.45529,5.99763, 0, 0, 4.375, 315.458, 0, -2232.23,0.875,-852.101
07/02/1992,4.125,4.1875,3.6875,3.8125,3.8125,5.679e+06,-0.128571,-0.06,0.02,-0.0199922, 0.02,-0.110794,-0.0199922, 3.07247,5.33313, -117.427, 20.1948, 4.33105, 335.653, 0, -2319.56,0.13241,-1039.89
07/06/1992,3.8125,3.875,3.6875,3.8125,3.8125,3.0948e+06,0,0,0.02,-0.0199884, 0.02,0,0, 3.07247,5.33313, 0, 0, 3.8125, 335.653, 0, -2318.8,0.7625,-1039.12
07/07/1992,3.875,4,3.8125,3.875,3.875,2.1542e+06,0.0163934,0.0163934,0.02,-0.0199884, 0.02,0,0.0163934, 3.07247,5.33313, 0, -16.2605, 3.84362, 319.392, 0, -2255.53,0.768725,-1017.89
07/08/1992,3.875,4.0625,3.8125,3.875,3.875,2.021e+06,0,0,0.02,-0.0199915, 0.02,0,0, 3.07247,5.33313, 0, 0, 3.875, 319.392, 0, -2254.76,0.775,-1017.11
07/09/1992,3.875,4.1875,3.875,4,4,3.9572e+06,0.0322581,0.0322581,0.02,-0.0199915, 0.02,0.0120177,0.02, 3.10939,5.39722, 11.9461, -19.8026, 3.91356, 299.59, 0, -2176.77,0.488924,-978.411
07/10/1992,4.0625,4.3125,4.0625,4.125,4.125,2.8636e+06,0.03125,0.03125,0.02,-0.0199953, 0.02,0.0110294,0.02, 3.14369,5.45675, 10.969, -19.8026, 4.0398, 279.787, 0, -2096.25,0.520771,-942.128
07/13/1992,4.25,4.375,4.1875,4.25,4.25,3.1832e+06,0.030303,0.030303,0.02,-0.0199992, 0.02,0.010101,0.02, 3.17544,5.51187, 10.0503, -19.8026, 4.16605, 259.985, 0, -2013.2,0.553609,-908.264
07/14/1992,4.375,4.4375,4.3125,4.375,4.375,4.077e+06,0.0294118,0.0294118,0.02,-0.0200032, 0.02,0.00922722,0.02, 3.20474,5.56273, 9.18491, -19.8026, 4.29229, 240.182, 0, -1927.61,0.587437,-876.816
07/15/1992,4.4375,4.5,4.375,4.4375,4.4375,2.918e+06,0.0142857,0.0142857,0.02,-0.0200072, 0.02,0,0.0142857, 3.20474,5.56273, 0, -14.1846, 4.40614, 225.997, 0, -1864.23,0.881228,-861.368
07/16/1992,4.375,4.5,4.375,4.4375,4.4375,1.8102e+06,0,0,0.02,-0.0200102, 0.02,0,0, 3.20474,5.56273, 0, 0, 4.4375, 225.997, 0, -1863.34,0.8875,-860.481
07/17/1992,4.375,4.4375,4.25,4.3125,4.3125,951400,-0.028169,-0.028169,0.02,-0.0200102, 0.02,-0.00832541,-0.0200102, 3.17806,5.51641, -8.36026, 20.2131, 4.39288, 246.21, 0, -1951.52,0.620437,-889.735
07/20/1992,4.3125,4.375,4.25,4.3125,4.3125,1.1252e+06,0,0,0.02,-0.020006, 0.02,0,0, 3.17806,5.51641, 0, 0, 4.3125, 246.21, 0, -1950.65,0.8625,-888.872
07/21/1992,4.375,4.4375,4.375,4.4375,4.4375,827000,0.0289855,0.0289855,0.02,-0.020006, 0.02,0.00880932,0.02, 3.20606,5.56501, 8.77075, -19.8026, 4.35541, 226.408, 0, -1863.8,0.604723,-859.117
07/22/1992,4.375,4.4375,4.25,4.3125,4.3125,936400,-0.028169,-0.028169,0.0265836,-0.026597, 0.0265836,-0.00161495,-0.026597, 2.74767,5.55602, -1.61626, 26.9571, 4.37809, 253.365, 0, -1980.36,1.45841,-887.728
07/23/1992,4.375,4.375,4.25,4.3125,4.3125,494600,0,0,0.0260595,-0.0260866, 0.0260595,0,0, 2.7801,5.55602, 0, 0, 4.3125, 253.365, 0, -1978.9,1.46431,-886.263
07/24/1992,4.25,4.3125,4.1875,4.1875,4.1875,1.1008e+06,-0.0289855,-0.0289855,0.0257233,-0.0257483, 0.0257233,-0.00332272,-0.0257483, 2.7919,5.53756, -3.32825, 26.0856, 4.25662, 279.45, 0, -2088.69,1.24732,-918.49
07/27/1992,4.25,4.3125,4.1875,4.25,4.25,761000,0.0149254,0.0149254,0.025893,-0.0259098, 0.025893,0,0.0149254, 2.78126,5.53756, 0, -14.8151, 4.21863, 264.635, 0, -2024.77,1.41419,-900.074
07/28/1992,4.1875,4.3125,4.1875,4.25,4.25,1.4142e+06,0,0,0.0252114,-0.0252323, 0.0252114,0,0, 2.82441,5.53756, 0, 0, 4.25, 264.635, 0, -2023.42,1.35068,-898.724
07/29/1992,4.25,4.3125,4.1875,4.3125,4.3125,1.4582e+06,0.0147059,0.0147059,0.0248439,-0.0248624, 0.0248439,0,0.0147059, 2.84809,5.53756, 0, -14.5988, 4.28114, 250.037, 0, -1959.6,1.3212,-881.321
07/30/1992,4.3125,4.375,4.1875,4.3125,4.3125,1.2396e+06,0,0,0.0247829,-0.0248042, 0.0247829,0,0, 2.85205,5.53756, 0, 0, 4.3125, 250.037, 0, -1958.28,1.32435,-879.996
07/31/1992,4.3125,4.4375,4.25,4.4375,4.4375,973400,0.0289855,0.0289855,0.0244743,-0.0244951, 0.0244743,0.00440346,0.0244743, 2.88486,5.56195, 4.39379, -24.1796, 4.36495, 225.857, 0, -1851.63,1.10794,-849.388
08/03/1992,4.375,4.75,4.375,4.75,4.75,3.125e+06,0.0704225,0.0704225,0.0235666,-0.023592, 0.0235666,0.0457772,0.0235666, 3.08052,5.81656, 44.7603, -23.2932, 4.48948, 202.564, 0, -1746.63,0.423689,-784.452
08/04/1992,4.75,4.8125,4.625,4.6875,4.6875,1.8126e+06,-0.0131579,-0.0131579,0.0245027,-0.0245326, 0.0245027,0,-0.0131579, 3.01496,5.81656, 0, 13.2452, 4.71865, 215.809, 0, -1807.71,1.41649,-796.108
08/05/1992,4.625,4.6875,4.5625,4.625,4.625,1.9282e+06,-0.0133333,-0.0133333,0.0241579,-0.0241867, 0.0241579,0,-0.0133333, 3.03886,5.81656, 0, 13.423, 4.65615, 229.232, 0, -1868.85,1.35867,-808.656
08/06/1992,4.625,4.6875,4.5,4.6875,4.6875,1.7788e+06,0.0135135,0.0135135,0.0229965,-0.0230195, 0.0229965,0,0.0135135, 3.12151,5.81656, 0, -13.423, 4.65615, 215.809, 0, -1805.12,1.23117,-793.519
08/07/1992,4.6875,4.75,4.5625,4.6875,4.6875,1.5412e+06,0,0,0.0226963,-0.0227191, 0.0226963,0,0, 3.14341,5.81656, 0, 0, 4.6875, 215.809, 0, -1803.92,1.20732,-792.311
08/10/1992,4.625,4.6875,4.5625,4.5625,4.5625,948800,-0.0266667,-0.0266667,0.0225815,-0.0226033, 0.0225815,-0.00415736,-0.0226033, 3.13874,5.79238, -4.16602, 22.8627, 4.63422, 238.672, 0, -1908.87,0.997997,-819.929
08/11/1992,4.5625,4.625,4.5,4.5,4.5,771400,-0.0136986,-0.0136986,0.0227953,-0.0228113, 0.0227953,0,-0.0136986, 3.12312,5.79238, 0, 13.7933, 4.53114, 252.465, 0, -1970.19,1.17725,-834.098
08/12/1992,4.5,4.625,4.5,4.5,4.5,951400,0,0,0.0226906,-0.0227038, 0.0226906,0,0, 3.13076,5.79238, 0, 0, 4.5, 252.465, 0, -1969.03,1.15844,-832.94
08/13/1992,4.625,4.6875,4.625,4.625,4.625,962000,0.0277778,0.0277778,0.0225889,-0.0226017, 0.0225889,0.00507423,0.0225889, 3.15413,5.82177, 5.0614, -22.3376, 4.55054, 230.127, 0, -1866.44,0.948022,-802.097
08/14/1992,4.625,4.6875,4.625,4.6875,4.6875,284800,0.0135135,0.0135135,0.0227712,-0.0227892, 0.0227712,0,0.0135135, 3.14074,5.82177, 0, -13.423, 4.65615, 216.704, 0, -1802.73,1.20717,-786.928
08/17/1992,4.625,4.6875,4.5625,4.5625,4.5625,601600,-0.0266667,-0.0266667,0.0212308,-0.0212512, 0.0212308,-0.00553301,-0.0212512, 3.23865,5.78956, -5.54837, 21.4803, 4.63742, 238.185, 0, -1901.51,0.829249,-814.796
08/18/1992,4.5,4.5625,4.4375,4.5,4.5,862200,-0.0136986,-0.0136986,0.0216338,-0.0216454, 0.0216338,0,-0.0136986, 3.20788,5.78956, 0, 13.7933, 4.53114, 251.978, 0, -1962.95,1.06034,-829.052
08/19/1992,4.5,4.5,4.375,4.5,4.5,604400,0,0,0.0217318,-0.0217414, 0.0217318,0,0, 3.20046,5.78956, 0, 0, 4.5, 251.978, 0, -1961.89,1.06261,-827.989
08/20/1992,4.375,4.4375,4.3125,4.4375,4.4375,544200,-0.0138889,-0.0138889,0.0217318,-0.0217417, 0.0217318,0,-0.0138889, 3.20046,5.78956, 0, 13.9862, 4.46864, 265.964, 0, -2023.33,1.05521,-843.118
08/21/1992,4.375,4.4375,4.25,4.3125,4.3125,716400,-0.028169,-0.028169,0.0215715,-0.0215782, 0.0215715,-0.00673616,-0.0215782, 3.19096,5.75056, -6.75895, 21.8144, 4.38936, 287.779, 0, -2118.31,0.778292,-877.262
08/24/1992,4.25,4.3125,4.1875,4.25,4.25,1.2306e+06,-0.0144928,-0.0144928,0.0216241,-0.0216256, 0.0216241,0,-0.0144928, 3.187,5.75056, 0, 14.5988, 4.28114, 302.378, 0, -2179.81,1.00094,-894.702
08/25/1992,4.25,4.5625,4.25,4.5625,4.5625,1.3298e+06,0.0735294,0.0648724,0.0213922,-0.0213907, 0.0213922,0.0510452,0.0213922, 3.36811,6.04409, 49.7851, -21.1666, 4.29522, 281.211, 0, -2088.6,0.290242,-805.576
08/26/1992,4.5625,4.875,4.5,4.75,4.75,1.9774e+06,0.0410959,0.0410959,0.0225735,-0.022576, 0.0225735,0.0181135,0.0225735, 3.3351,6.15357, 17.9514, -22.3225, 4.61371, 258.888, 0, -1984.96,0.652169,-755.239
08/27/1992,4.8125,4.875,4.75,4.8125,4.8125,1.5944e+06,0.0131579,0.0131579,0.0230394,-0.0230505, 0.0230394,0,0.0131579, 3.29908,6.15357, 0, -13.0721, 4.78115, 245.816, 0, -1921.19,1.26895,-738.2
