Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
09/19/2014,92.7,99.7,89.95,93.89,93.89,2.71879e+08,0,0,0.02,-0.02, 0.02,0,0, 62.5933,140.835, 0, 0, 93.89, 500, 0, -46945,0,0, 0, 0, 0, 103.203, 0, -9689.69, 0
09/22/2014,92.7,92.95,89.5,89.89,89.89,6.66578e+07,-0.042603,-0.042603,0.02,-0.02, 0.02,-0.0230643,-0.02, 62.5933,140.835, 0, 29, 92.9464, 529, 0, -49618.3,22.1696,-2066.46, 0, 60.7588, 140.835, 449.002, 18.3736, -41439.3, -1078.51
09/23/2014,88.94,90.48,86.62,87.17,87.17,3.90098e+07,-0.0302592,-0.0302592,0.02,-0.02, 0.02,-0.0104686,-0.02, 62.5933,140.835, 0, 37, 88.9866, 566, 0, -52889.3,21.4988,-3551.06, 0, 60.7588, 140.835, 479.729, 17.7039, -44141.5, -2323.56
09/24/2014,88.47,90.57,87.22,90.57,90.57,3.2088e+07,0.0390043,0.0390043,0.00872841,-0.00872841, 0.00872841,0.0300139,0.00872841, 62.5933,140.835, 0, -37, 87.5496, 529, 0, -49645.7,4.25442,-1734.16, 0, 60.7588, 140.835, 441.466, 3.38466, -40738.3, -754.764
09/25/2014,91.09,91.5,88.5,88.92,88.92,2.8598e+07,-0.018218,-0.018218,0.0439878,-0.0439878, 0.0439878,0,-0.018218, 62.5933,140.835, 0, 13, 89.7412, 542, 0, -50706.2,106.084,-2511.6, 0, 60.7588, 140.835, 459.852, 86.8213, -42301.5, -1411.46
09/26/2014,89.73,90.46,88.66,90.46,90.46,1.834e+07,0.017319,0.017319,0.0360827,-0.0360827, 0.0360827,0,0.017319, 62.5933,140.835, 0, -13, 89.6867, 529, 0, -49467.7,72.6176,-1614.36, 0, 60.7588, 140.835, 442.681, 58.3844, -40703.1, -658.183
09/29/2014,89.62,89.7,88.02,88.75,88.75,2.5302e+07,-0.0189034,-0.0189034,0.0340669,-0.0340669, 0.0340669,0,-0.0189034, 62.5933,140.835, 0, 16, 89.6009, 545, 0, -50837.8,63.5066,-2469.05, 0, 60.7588, 140.835, 461.766, 51.9932, -42361.1, -1379.41
09/30/2014,89,90.88,88.46,88.85,88.85,2.44194e+07,0.00112674,0.00112674,0.0308585,-0.0308585, 0.0308585,0,0.00112674, 62.5933,140.835, 0, -2, 88.8, 543, 0, -50608,52.1668,-2362.49, 0, 60.7588, 140.835, 460.639, 42.2798, -42218.8, -1291.01
10/01/2014,88.7,88.94,86.04,86.1,86.1,2.40296e+07,-0.030951,-0.030951,0.0284258,-0.0284258, 0.0284258,-0.0025991,-0.0284258, 62.5933,140.835, 0, 3, 87.5781, 546, 0, -50827.9,42.8959,-3817.28, 0, 58.2398, 140.835, 492.08, 35.3367, -44933.4, -2565.33
10/02/2014,86.27,88.2,85.611,87.06,87.06,2.14697e+07,0.0111498,0.0111498,0.0275919,-0.0275919, 0.0275919,0,0.0111498, 62.5933,140.835, 0, 0, 86.5787, 546, 0, -50787,40.8665,-3252.25, 0, 58.2398, 140.835, 480.991, 32.9566, -43940.4, -2065.31
