Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
06/08/1992,1.5625,1.59375,1.53906,1.54688,0.91567,6.48608e+07,0,0,0.02,-0.021, 0.02,0,0, -9.25596e+61,1.19037, 0, 0, 0.91567, 1045.03, 0, -956.906,0,0, 0, 0, 0, 1045.03, 0, -956.906, 0
06/15/1992,1.55469,1.65625,1.49219,1.64844,0.97579,4.90038e+08,0.0656568,0.06,0.02,-0.02, 0.02,0.0447616,0.02, 0.685784,1.19037, 0, -32.7049, 0.924781, 1012.33, 0, -926.565,44.7617,44.7617, 0, -42.6433, -87.405, 198.773, -87.405, -156.787, 37.1735
06/22/1992,1.64062,1.72656,1.60938,1.72656,1.02204,3.96755e+08,0.0473924,0.0473924,0.02,-0.02, 0.02,0.0268553,0.02, 0.685784,1.19037, 0, -23.168, 0.9855, 989.161, 0, -903.634,26.8562,71.6179, 0, -84.5558, -156.174, 152.469, -68.7687, -110.347, 45.4824
06/29/1992,1.72656,1.82422,1.72656,1.74609,1.0336,2.41574e+08,0.0113127,0.0113127,0.00891494,-0.00891494, 0.00891494,0.0023766,0.00891494, 0.913514,1.19037, 0, -5.54803, 1.02658, 983.613, 0, -897.918,2.37595,73.9938, 0, -82.1799, -156.174, 141.22, 0, -98.7437, 47.2209
07/06/1992,1.75,1.8125,1.72656,1.76562,1.04516,2.43942e+08,0.0111852,0.0111852,0.025269,-0.025269, 0.025269,0,0.0111852, 0.60635,1.19037, 0, -5.45524, 1.03936, 978.158, 0, -892.086,-13.7364,60.2574, 0, -95.9163, -156.174, 130.097, 0, -86.851, 49.1209
07/13/1992,1.76562,1.85938,1.75,1.75,1.03591,2.6521e+08,-0.00884938,-0.00884938,0.0250416,-0.0250416, 0.0250416,0,-0.00884938, 0.609486,1.19037, 0, 4.35698, 1.04052, 982.515, 0, -896.459,-33.0632,27.1942, 0, -128.98, -156.174, 138.986, 0, -95.7737, 48.2029
07/20/1992,1.74219,1.83594,1.71094,1.82031,1.07753,2.68755e+08,0.0401782,0.0401782,0.0284923,-0.0284923, 0.0284923,0.0113622,0.0284923, 0.564376,1.19037, 0, -19.1623, 1.05056, 963.353, 0, -876.12,11.3628,38.557, 0, -117.617, -156.174, 99.5936, 0, -53.7265, 53.5886
07/27/1992,1.80469,1.88281,1.76953,1.86719,1.10528,2.75194e+08,0.0257515,0.0257515,0.0263051,-0.0263051, 0.0263051,0,0.0257515, 0.592362,1.19037, 0, -12.1693, 1.09132, 951.183, 0, -862.659,-0.539826,38.0171, 0, -171.619, -209.636, 74.1681, -53.4625, -25.6017, 56.3747
08/03/1992,1.88281,1.91406,1.80469,1.83203,1.08447,1.82394e+08,-0.0188278,-0.0188278,0.0240169,-0.0240169, 0.0240169,0,-0.0188278, 0.623927,1.19037, 0, 9.08283, 1.09482, 960.266, 0, -872.452,-41.8408,-3.82369, 0, -218.776, -214.952, 93.1755, -5.31569, -46.0956, 54.9502
08/10/1992,1.82812,1.875,1.78906,1.86328,1.10296,1.60922e+08,0.0170563,0.0170563,0.0274522,-0.0274522, 0.0274522,0,0.0170563, 0.577432,1.19037, 0, -8.086, 1.09368, 952.18, 0, -863.412,0,-3.82369, 0, -218.776, -214.952, 76.263, 0, -27.1867, 56.9287
08/17/1992,1.86719,1.87891,1.73438,1.76562,1.04516,2.31702e+08,-0.0524105,-0.0524105,0.0257131,-0.0257131, 0.0257131,-0.0274021,-0.0257131, 0.600295,1.19037, 0, 25.9779, 1.08869, 978.158, 0, -891.521,0,-3.82369, 0, -191.373, -187.55, 130.097, 27.4023, -84.6318, 51.34
08/24/1992,1.74219,1.82031,1.69531,1.80469,1.06828,1.78422e+08,0.0221239,0.0221239,0.0334728,-0.0334728, 0.0334728,0,0.0221239, 0.507604,1.19037, 0, -10.6441, 1.05666, 967.514, 0, -879.986,0,-3.82369, 0, -248.896, -245.072, 108.214, -57.5224, -60.9173, 54.6858
08/31/1992,1.80469,1.96875,1.80078,1.91406,1.13303,3.31885e+08,0.0606067,0.0606067,0.0318669,-0.0318669, 0.0318669,0.0278523,0.0318669, 0.524937,1.19037, 0, -28.0502, 1.08517, 939.464, 0, -849.282,27.8516,24.0279, 0, -221.044, -245.072, 49.3731, 0, 4.37694, 60.3179
09/07/1992,1.90625,2.01562,1.88281,2,1.1839,2.0359e+08,0.0448975,0.0448975,0.0332197,-0.0332197, 0.0332197,0.0113023,0.0332197, 0.510278,1.19037, 0, -20.4052, 1.15169, 919.059, 0, -825.486,11.3025,35.3304, 0, -209.742, -245.072, 5.45433, 0, 55.8819, 62.3393
09/14/1992,2.02344,2.04688,1.95312,2.03906,1.20702,3.28256e+08,0.0195313,0.0195313,0.0326712,-0.0326712, 0.0326712,0,0.0195313, 0.516147,1.19037, 0, -8.84583, 1.1954, 910.213, 0, -814.62,0,35.3304, 0, -209.742, -245.072, -13.8887, 0, 79.6425, 62.8787
09/21/1992,2.02344,2.09375,2,2.02344,1.19777,2.57053e+08,-0.00766268,-0.00766268,0.0313897,-0.0313897, 0.0313897,0,-0.00766268, 0.530257,1.19037, 0, 3.50751, 1.20239, 913.72, 0, -818.567,0,35.3304, 0, -209.742, -245.072, -6.19647, 0, 70.9859, 63.564
09/28/1992,2.01562,2.07031,1.95312,1.95312,1.15615,2.14493e+08,-0.0347496,-0.0347496,0.0310795,-0.0310795, 0.0310795,-0.00378776,-0.0310795, 0.53376,1.19037, 0, 16.3018, 1.17901, 930.022, 0, -837.525,0,35.3304, 0, -205.954, -241.285, 29.1712, 3.78744, 29.9344, 63.6607
10/05/1992,1.94531,2.10938,1.89844,2.07812,1.23014,3.82138e+08,0.0640005,0.0640005,0.0328094,-0.0328094, 0.0328094,0.0302002,0.0328094, 0.514659,1.19037, 0, -28.4045, 1.17496, 901.618, 0, -803.859,30.1998,65.5302, 0, -175.754, -241.285, -32.8646, 0, 104.558, 64.1303
10/12/1992,2.07812,2.10156,1.94531,1.97656,1.17002,3.85373e+08,-0.0488716,-0.0488716,0.0339309,-0.0339309, 0.0339309,-0.0154655,-0.0339309, 0.502818,1.19037, 0, 22.8736, 1.20909, 924.491, 0, -831.199,0,65.5302, 0, -160.289, -225.819, 17.2416, 15.4658, 45.1364, 65.3094
10/19/1992,1.97656,2.16016,1.97656,2.09766,1.2417,4.14582e+08,0.0612638,0.0612638,0.0364701,-0.0364701, 0.0364701,0.0239213,0.0364701, 0.477473,1.19037, 0, -27.0808, 1.19117, 897.41, 0, -798.578,23.9219,89.4521, 0, -136.367, -225.819, -42.2188, 0, 117.607, 65.1842
10/26/1992,2.10156,2.14844,2.03125,2.10938,1.24864,2.79779e+08,0.00558668,0.00558668,0.0370616,-0.0370616, 0.0370616,0,0.00558668, 0.471844,1.19037, 0, -2.49632, 1.24517, 894.914, 0, -795.086,0,89.4521, 0, -136.367, -225.819, -47.7899, 0, 125.4, 65.7271
11/02/1992,2.09375,2.19531,2.07812,2.15625,1.27829,2.1223e+08,0.0237474,0.0237474,0.0361559,-0.0361559, 0.0361559,0,0.0237474, 0.480503,1.19037, 0, -10.4404, 1.26338, 884.474, 0, -781.529,-13.4475,76.0046, 0, -149.814, -225.819, -71.2598, 0, 155.877, 64.7858
11/09/1992,2.16406,2.21094,2.125,2.19531,1.30145,3.2375e+08,0.0181164,0.0181164,0.0352812,-0.0352812, 0.0352812,0,0.0181164, 0.489095,1.19037, 0, -7.90448, 1.28982, 876.569, 0, -770.98,0,76.0046, 0, -149.814, -225.819, -89.214, 0, 179.837, 63.7295
11/16/1992,2.1875,2.21094,2.09375,2.20312,1.30608,2.92934e+08,0.00355834,0.00355834,0.034433,-0.034433, 0.034433,0,0.00355834, 0.497648,1.19037, 0, -1.55542, 1.30376, 875.014, 0, -768.614,0,76.0046, 0, -189.16, -265.165, -92.766, -39.3463, 185.241, 64.081
11/23/1992,2.19531,2.23047,2.15625,2.21875,1.31534,1.4969e+08,0.00709221,0.00709221,0.0337482,-0.0337482, 0.0337482,0,0.00709221, 0.504719,1.19037, 0, -3.08648, 1.3107, 871.927, 0, -764.242,0,76.0046, 0, -189.16, -265.165, -99.8332, 0, 195.25, 63.9353
11/30/1992,2.21875,2.46875,2.21875,2.46094,1.45892,4.98602e+08,0.109155,0.101244,0.0330549,-0.0330549, 0.0330549,0.0736656,0.0330549, 0.512031,1.19037, 0, -44.0155, 1.33691, 827.912, 0, -705.082,73.6652,149.67, 0, -115.495, -265.165, -203.432, 0, 339.52, 42.7286
12/07/1992,2.45312,2.51562,2.39844,2.46484,1.46124,3.776e+08,0.00158679,0.00158679,0.0366221,-0.0366221, 0.0366221,0,0.00158679, 0.476017,1.19037, 0, -0.65608, 1.46008, 827.256, 0, -703.719,0,149.67, 0, -115.495, -265.165, -205.018, 0, 342.814, 43.2349
12/14/1992,2.46875,2.73438,2.39062,2.67188,1.58397,6.25824e+08,0.083994,0.083994,0.036043,-0.036043, 0.036043,0.0462828,0.036043, 0.481599,1.19037, 0, -32.6964, 1.48734, 794.559, 0, -654.692,46.2824,195.952, 0, -69.2128, -265.165, -285.67, 0, 466.504, 14.0111
