Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance
04/28/1993,9.125,9.375,9,9.125,5.86518,7.821e+06,0,0,0.02,-0.021, 0.02,0,0, 4.39269,7.62474, 0, 0, 5.86518, 262.364, 0, -1538.81,0,0, 0, 0, 0
04/29/1993,9.125,9.3125,9.125,9.3125,5.9857,2.1188e+06,0.0205482,0.0205482,0.02,-0.021, 0.02,0.000537459,0.02, 4.39505,7.62884, 0.537314, -19.8026, 5.92354, 242.562, 0, -1420.36,1.15371,31.5427, 0.537314, -3.2162, 0
04/30/1993,9.375,9.375,9.125,9.1875,5.90536,536800,-0.013423,-0.013423,0.02,-0.021, 0.02,0,-0.013423, 4.39505,7.62884, 0, 13.5139, 5.94539, 256.076, 0, -1499.52,1.18908,12.7019, 0.537314, -3.2162, -0.0431711
05/03/1993,9.125,9.1875,9.0625,9.1875,5.90536,509600,0,0,0.02,-0.021, 0.02,0,0, 4.39505,7.62884, 0, 0, 5.90536, 256.076, 0, -1498.33,1.18107,13.8829, 0.537314, -3.2162, -0.0431711
05/04/1993,9.1875,9.1875,8.9375,9.0625,5.82501,787400,-0.0136056,-0.0136056,0.02,-0.021, 0.02,0,-0.0136056, 4.39505,7.62884, 0, 13.699, 5.86505, 269.775, 0, -1577.51,1.17301,-6.06715, 0.537314, -3.2162, -0.0863421
05/05/1993,9,9.0625,8.875,8.875,5.70449,747200,-0.0206897,-0.0206897,0.02,-0.021, 0.02,0,-0.0206897, 4.39505,7.62884, 0, 20.9068, 5.76444, 290.681, 0, -1696.87,1.15289,-38.6802, 0.537314, -3.2162, -0.151098
05/06/1993,8.9375,9,8.8125,8.8125,5.66432,392800,-0.00704252,-0.00704252,0.02,-0.021, 0.02,0,-0.00704252, 4.39505,7.62884, 0, 7.06744, 5.68437, 297.749, 0, -1735.91,1.13687,-49.3629, 0.537314, -3.2162, -0.172684
05/07/1993,8.875,8.9375,8.8125,8.875,5.70449,180000,0.00709247,0.00709247,0.02,-0.021, 0.02,0,0.00709247, 4.39505,7.62884, 0, -7.06744, 5.68437, 290.681, 0, -1694.6,1.13687,-36.4064, 0.537314, -3.2162, -0.151098
05/10/1993,8.9375,9.0625,8.875,8.875,5.70449,269600,0,0,0.02,-0.021, 0.02,0,0, 4.39505,7.62884, 0, 0, 5.70449, 290.681, 0, -1693.45,1.1409,-35.2655, 0.537314, -3.2162, -0.151098
05/11/1993,8.9375,8.9375,8.875,8.9375,5.74467,109400,0.00704234,0.00704234,0.02,-0.021, 0.02,0,0.00704234, 4.39505,7.62884, 0, -7.01766, 5.72454, 283.664, 0, -1652.14,1.14491,-22.5843, 0.537314, -3.2162, -0.129513
05/12/1993,8.875,8.875,8.6875,8.8125,5.66432,110800,-0.0139864,-0.0139864,0.02,-0.021, 0.02,0,-0.0139864, 4.39505,7.62884, 0, 14.0851, 5.70435, 297.749, 0, -1731.34,1.14087,-44.7988, 0.537314, -3.2162, -0.172684
05/13/1993,8.8125,8.8125,8.75,8.75,5.62415,171000,-0.00709194,-0.00709194,0.02,-0.021, 0.02,0,-0.00709194, 4.39505,7.62884, 0, 7.11721, 5.6442, 304.866, 0, -1770.38,1.12884,-55.7735, 0.537314, -3.2162, -0.194269
05/14/1993,8.75,8.875,8.75,8.75,5.62415,166800,0,0,0.02,-0.021, 0.02,0,0, 4.39505,7.62884, 0, 0, 5.62415, 304.866, 0, -1769.26,1.12483,-54.6487, 0.537314, -3.2162, -0.194269
05/17/1993,8.75,8.75,8.5625,8.625,5.5438,132000,-0.0142859,-0.0142859,0.02,-0.021, 0.02,0,-0.0142859, 4.39505,7.62884, 0, 14.3889, 5.58383, 319.255, 0, -1848.49,1.11677,-78.6027, 0.537314, -3.2162, -0.23744
05/18/1993,8.625,8.625,8,8.25,5.30277,534400,-0.0434779,-0.0434779,0.02,-0.021, 0.02,-0.0229601,-0.021, 4.29414,7.45368, -23.2278, 21.2236, 5.48528, 340.479, 0, -1964.38,0.52407,-158.903, -22.6905, 119.955, -0.36695
05/19/1993,8.375,8.5625,8.375,8.4375,5.42328,203600,0.0227272,0.0227272,0.02,-0.021, 0.02,0.00267371,0.02, 4.30562,7.47361, 2.67014, -19.8026, 5.35553, 320.676, 0, -1857.38,0.9448,-118.267, -20.0203, 105.474, -3.10154
05/20/1993,8.3125,8.375,7.9375,8.125,5.22242,1.189e+06,-0.037037,-0.037037,0.02,-0.021, 0.02,-0.016381,-0.021, 4.23509,7.35118, -16.5166, 21.2236, 5.36604, 341.9, 0, -1970.67,0.60291,-185.123, -36.5369, 191.731, 0.919785
05/21/1993,8.1875,8.25,8,8.1875,5.2626,475600,0.00769241,0.00769241,0.02,-0.021, 0.02,0,0.00769241, 4.23509,7.35118, 0, -7.66297, 5.24247, 334.237, 0, -1929.45,1.04849,-170.494, -36.5369, 191.731, -0.548014
05/24/1993,8.25,8.25,8,8.125,5.22242,719200,-0.00763368,-0.00763368,0.02,-0.021, 0.02,0,-0.00763368, 4.23509,7.35118, 0, 7.66297, 5.24247, 341.9, 0, -1968.57,1.04849,-183.026, -36.5369, 191.731, 0.919785
05/25/1993,8,8.0625,7.8125,7.9375,5.1019,326600,-0.0230772,-0.0230772,0.02,-0.021, 0.02,-0.00212178,-0.021, 4.2261,7.33558, -2.12403, 21.2236, 5.1673, 363.123, 0, -2077.3,0.938624,-224.681, -38.661, 202.568, 5.32318
05/26/1993,8,8.3125,8,8.25,5.30277,209200,0.0393704,0.0393704,0.02,-0.021, 0.02,0.0189906,0.02, 4.30636,7.47489, 18.8125, -19.8026, 5.15267, 343.321, 0, -1974.74,0.528607,-154.186, -19.8484, 102.809, -2.44242
05/27/1993,8.375,8.5625,8.25,8.5,5.46346,307800,0.0303027,0.0303027,0.02,-0.021, 0.02,0.0101007,0.02, 4.34985,7.55039, 10.05, -19.8026, 5.35553, 323.518, 0, -1867.97,0.711683,-100.444, -9.79847, 47.9017, -5.63182
05/28/1993,8.625,8.8125,8.4375,8.6875,5.58397,986400,0.0220589,0.0220589,0.02,-0.021, 0.02,0.00201856,0.02, 4.35864,7.56563, 2.01653, -19.8026, 5.51782, 303.715, 0, -1757.7,1.00239,-61.7622, -7.78194, 36.6414, -6.81272
06/01/1993,8.75,8.75,8.4375,8.5,5.46346,116800,-0.0215828,-0.0215828,0.02,-0.021, 0.02,-0.000595339,-0.021, 4.35604,7.56113, -0.595516, 21.2236, 5.52503, 324.939, 0, -1873.89,1.07454,-98.5977, -8.37746, 39.895, -5.87485
06/02/1993,8.5,8.6875,8.4375,8.6875,5.58397,205200,0.0220589,0.0220589,0.02,-0.021, 0.02,0.00201856,0.02, 4.36483,7.57639, 2.01653, -19.8026, 5.51782, 305.136, 0, -1763.62,1.00239,-59.7443, -6.36093, 28.6348, -6.88449
06/03/1993,8.6875,8.6875,8.5,8.5,5.46346,92000,-0.0215828,-0.0215828,0.02,-0.021, 0.02,-0.000595339,-0.021, 4.36223,7.57188, -0.595516, 21.2236, 5.52503, 326.36, 0, -1879.8,1.07454,-96.751, -6.95645, 31.8884, -6.11788
