Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
01/25/1993,43.9688,43.9688,43.75,43.9375,25.548,1.0032e+06,0,0,0.02,-0.021, 0.02,0,0, -9.25596e+61,33.2124, 0, 0, 25.548, 197.843, 0, -5054.5,0,0, 0, 0, 0, 197.843, 0, -5054.5, 0
02/01/1993,43.9688,45.0938,43.9688,44.9688,26.1476,2.2348e+06,0.0234704,0.0234704,0.02,-0.02, 0.02,0.00340234,0.02, 19.134,33.2124, 0, -2.28165, 25.8022, 195.562, 0, -4995.12,3.40278,3.40278, 0, 3.40278, 0, 239.165, 0, -6117.33, 136.261
02/08/1993,44.9688,45.125,44.5312,44.5938,25.9296,1.1598e+06,-0.00833897,-0.00833897,0.02,-0.02, 0.02,0,-0.00833897, 19.134,33.2124, 0, 0.820527, 26.0384, 196.382, 0, -5015.98,0,3.40278, 0, 3.40278, 0, 247.539, 0, -6330.17, 88.4089
02/15/1993,44.4688,44.4688,42.8125,43.5625,25.3299,998700,-0.0231257,-0.0231257,0.0224926,-0.0224926, 0.0224926,-0.000647611,-0.0224926, 18.0344,33.2124, 0, 2.31089, 25.6363, 198.693, 0, -5074.58,0,3.40278, 0, 4.05017, 0.647391, 270.936, 0.647391, -6923.31, -60.5159
02/22/1993,43.6875,44.4375,43.4688,44.4062,25.8205,1.0243e+06,0.0193688,0.0193688,0.0238106,-0.0238106, 0.0238106,0,0.0193688, 17.4909,33.2124, 0, -1.89672, 25.5741, 196.797, 0, -5025.36,0,3.40278, 0, 4.05017, 0.647391, 251.753, 0, -6425.46, 74.9292
03/01/1993,44.5625,45.1875,44.2188,44.75,26.0204,658500,0.00774136,0.00774136,0.0223458,-0.0223458, 0.0223458,0,0.00774136, 18.0966,33.2124, 0, -0.757342, 25.9203, 196.039, 0, -5005.09,0,3.40278, 0, 4.05017, 0.647391, 244.041, 0, -6219.1, 130.95
03/08/1993,44.8438,45.8438,44.8125,45.0938,26.2203,1.129e+06,0.00768089,0.00768089,0.0194756,-0.0194756, 0.0194756,0,0.00768089, 19.3781,33.2124, 0, -0.748568, 26.1202, 195.291, 0, -4985.05,-11.5687,-8.1659, 0, -7.51851, 0.647391, 236.39, 0, -6014.29, 183.912
03/15/1993,45.0625,45.5,44.9688,45.0312,26.1839,489600,-0.00138553,-0.00138553,0.0174905,-0.0174905, 0.0174905,0,-0.00138553, 20.3458,33.2124, 0, 0.135431, 26.2021, 195.426, 0, -4988.21,0,-8.1659, 0, -7.51851, 0.647391, 237.776, 0, -6046.61, 179.307
03/22/1993,44.5938,45.25,44.5625,44.9062,26.2346,487400,0.00193412,0.00193412,0.016119,-0.016119, 0.016119,0,0.00193412, 21.0573,33.2124, 0, -0.188715, 26.2093, 195.237, 0, -4982.93,0,-8.1659, 0, -7.51851, 0.647391, 235.844, 0, -5992.56, 194.704
03/29/1993,44.9375,45.4688,44.0938,44.0938,25.7599,443600,-0.0180936,-0.0180936,0.0149354,-0.0149354, 0.0149354,-0.00320611,-0.0149354, 21.7018,33.2124, 0, 1.79061, 26.0379, 197.028, 0, -5029.27,0,-8.1659, 0, -4.31275, 3.85315, 254.103, 3.20576, -6464.33, 81.3401
